SAMPLE,EV1,EV37,GT011,GT023,GT195,GT211,GT271,GT310,GT575,GATA028,GATA053,GATA098,GATA417,GGAA520,TAA023,ZFX
IC-85-B6-27,169169,183197,127129,129131,161173,120124,114116,106110,156160,219231,246246,108112,221269,211215,092095,245245
IC-85-B6-28,163163,191197,123127,123129,161161,112120,116116,106112,154156,207207,246270,104108,261265,223227,086095,245245
IC-85-B6-29,163163,191197,125129,123129,171173,112120,114116,106112,146152,191219,262262,104108,225269,199207,086095,245245
IC-85-B6-30,169175,183197,119123,123123,175179,106120,114116,110112,154154,207207,266266,096100,269269,207219,095095,212245
IC-85-B6-31,157171,193197,119123,121129,173173,112120,114116,110112,152154,219227,262266,100108,237241,219223,098104,245245
IC-85-B6-32,157173,181191,117123,129135,161171,120122,114116,110110,154158,199231,246266,100108,221269,211223,095101,245245
IC-85-B6-33,155169,193197,129129,127129,161171,112120,116120,112112,154154,223227,270270,100104,229281,207215,086095,212245
IC-85-B6-34,157179,197201,123123,121121,175175,112116,114116,110112,152154,215239,246250,100104,265285,203219,095095,245245
IC-85-B6-35,157157,191193,123127,125135,173175,116118,116118,112124,152152,207231,246270,096112,269269,207215,104104,245245
IC-85-B6-36,159163,187193,127131,129129,161171,114116,116116,112124,152154,203219,258266,096100,221225,207207,086095,212245
IC-85-B6-37,159163,187193,127131,129129,161175,106124,116116,112124,152154,207227,246266,096100,213277,207211,086095,212245
IC-85-B6-38,163169,193197,117119,129133,161175,112118,116116,112112,152154,207235,246262,096120,221269,215223,086086,245245
IC-85-B6-39,169171,181199,119129,123125,161161,120122,116116,110112,152158,227235,246262,096116,277281,203219,095104,245245
IC-85-B6-40,159169,193197,119123,129133,161173,114120,114116,110110,154156,227231,262266,104112,269281,211215,098101,212245
IC-85-B6-41,163173,193193,117127,127127,169173,106120,108118,114114,146154,223231,262270,096100,233265,203219,086095,212245
IC-85-B6-42,157169,183197,129129,129133,161161,120120,116116,112126,154154,203227,246266,096108,225277,227227,086101,245245
IC-85-B6-43,157171,195195,117125,127129,171175,122122,116116,110112,154154,215219,246262,108108,217285,207211,092095,212245
IC-85-B6-44,169173,187193,127129,123129,161169,116122,116116,110114,150160,219231,262270,104112,269269,207219,095101,245245
IC-85-B6-45,169173,187193,125127,123129,173173,110114,114122,110114,146152,207219,246262,104112,265269,203215,095095,245245
IC-85-B6-46,157175,193197,129131,121129,169175,106120,114122,110110,152158,215227,262262,096096,237265,207211,098101,245245
IC-85-B6-47,157169,187187,117131,129133,163173,108116,114122,114124,154154,231231,246262,096104,261285,207211,092098,245245
IC-85-B6-48,157157,193193,117123,125129,161173,120120,120128,112124,152160,207211,262270,096104,221273,219227,095095,212245
IC-85-B6-49,157175,193197,119127,127129,169177,116120,116120,110112,154154,191207,246266,104108,217269,207211,086086,212245
IC-85-B6-50,163173,193197,123129,127129,161169,114120,116120,110112,154160,211231,246246,104108,225269,207207,086101,212245
IC-85-B6-51,157169,187197,119129,129141,161173,114120,116120,110114,152156,223231,250262,100104,269277,211219,095095,245245
IC-85-B6-52,157169,181199,129131,129133,171171,120120,116120,124126,152154,227231,246258,096096,213277,203219,095095,245245
IC-85-B6-53,163169,191199,117127,111133,171175,112120,114116,112114,146154,219227,262262,112112,265277,211219,086092,212245
IC-85-B8-01,163173,183183,119123,123129,161161,114120,114116,112112,156158,211215,246262,096104,221285,215227,000000,245245
IC-85-B8-03,157169,193197,119127,125135,173173,120122,116120,000000,146154,215231,262262,104104,265281,207215,000000,245245
IC-85-B8-04,163165,197201,125127,121129,173173,114116,114114,110126,154154,227231,266270,100104,221265,211223,000000,212245
IC-85-B8-05,163169,187197,125129,129135,161173,112120,116120,112112,152160,191211,266266,104116,265265,215223,086092,245245
IC-85-B8-06,159163,193215,129131,121133,175175,114120,112014,110112,152152,219227,246262,096116,265273,215227,086104,212245
IC-85-B8-07,163175,187193,119119,129133,173173,120122,116118,126126,146154,215223,262262,104108,225229,211223,000000,245245
IC-85-B8-08,169169,183199,127131,129129,171171,114118,114118,112126,154158,227231,266266,096104,221225,203219,095101,245245
IC-85-B8-09,157157,191195,127129,129133,173175,106110,116118,112112,154154,199223,246266,104116,261269,203219,095095,245245
IC-85-B8-10,157157,191195,127129,129133,173175,106110,116118,112112,154154,199223,246266,104116,261269,203219,095095,245245
IC-85-B8-11,163175,193197,123123,127135,161175,116124,112014,112114,152154,207231,246266,096096,209273,000000,086095,245245
IC-85-B8-12,169169,191193,125129,125129,175175,116120,116116,112126,154156,191195,000000,100108,225273,203223,086092,212245
IC-85-B8-13,157159,191193,123123,129129,171173,120120,116118,110112,146154,227231,246262,100108,217265,211215,095104,212245
IC-85-B8-14,157169,193193,125131,127129,171171,116122,116116,112126,152154,215227,246270,096104,225229,215215,095104,212245
IC-85-B8-15,159171,181187,117127,123135,171173,120122,114128,112112,152154,207231,246262,096104,221285,211215,095095,212245
IC-85-B8-16,157157,183191,129131,111129,171173,112120,116116,112112,154156,191219,246246,096100,261261,211215,000000,212245
IC-85-B8-17,157159,197201,127129,129129,171175,110120,116118,112122,154158,227235,246262,096100,229265,223223,086095,212245
IC-85-B8-18,157159,187199,127129,129131,169175,106118,116116,110112,152154,191219,246262,096104,265273,203227,095101,245245
IC-85-B8-19,163169,183197,127129,125127,161173,118120,114116,112112,146152,207215,246246,096100,217273,215223,095095,245245
IC-85-B8-20,159175,197211,117127,123123,161175,118124,114116,112126,152152,191223,262262,100108,225269,199207,086095,245245
IC-85-B8-22,157165,191193,117131,123133,161173,120120,108116,112126,152154,223239,246262,100100,229265,203219,095104,245245
IC-85-B8-23,157171,181197,125127,129133,161175,120124,114116,112124,154154,191207,246246,100116,281285,211219,086104,212245
IC-85-B8-25,157169,193197,127127,125129,169173,112116,116116,110112,154154,227227,266270,104104,241277,207223,086095,212245
IC-85-B8-26,157173,193199,123129,121125,167169,116120,116122,112114,152154,191231,000000,104108,269273,203227,086095,212245
IC-85-B8-27,163171,191199,117129,127129,171177,116120,116118,112114,152154,000000,262266,100104,273289,211219,095101,245245
IC-85-B8-28,157169,193193,119127,125125,171171,114120,116116,112112,154156,211211,246250,096096,225285,215219,086098,245245
IC-85-B8-29,159163,193215,119129,121121,173175,116120,112016,110110,152152,219227,262262,096100,217265,203215,086086,212245
IC-85-B8-30,159159,183193,117127,127129,161173,114116,114116,112112,152154,207219,246250,096116,261269,203211,095095,245245
IC-85-B8-31,157157,191197,119129,125129,169175,120122,116116,110110,146160,227231,246262,100104,225233,211219,000000,212245
IC-85-B8-32,169171,183193,127127,127129,169171,120122,116116,110114,152158,207239,246246,104108,217285,000000,000000,245245
IC-85-B8-33,163169,183183,117127,125129,161177,112122,114114,110126,146154,191211,246266,100100,217265,211211,000000,212245
IC-85-B8-34,157159,187197,123131,109143,161177,120122,116118,124126,152154,215227,250262,104108,213221,223231,086104,245245
IC-85-B8-35,169169,181197,119123,129143,161173,116120,114114,114126,152156,191211,266270,100108,265277,203211,000000,212245
IC-85-B8-36,157163,183193,125129,121125,173173,120124,116116,112112,152154,203203,246262,100108,261269,000000,086086,212245
IC-85-B8-37,157163,197197,129131,125133,167175,116118,116122,110120,146152,223235,246266,092104,225285,215219,086095,245245
IC-85-B8-38,169171,181193,129131,123129,161173,112118,116116,112112,152160,203227,250262,096100,213261,211219,000000,245245
IC-85-B8-39,157171,193193,127129,125125,171175,114122,108116,112126,146152,195227,262266,096096,269281,211211,098098,245245
IC-85-B8-40,169169,181191,125129,129133,167175,120122,118118,106114,152152,219227,258262,096104,225269,211227,095095,245245
IC-85-B8-41,175175,183193,117123,129129,161173,120122,116118,110126,154154,215227,262266,096108,213261,223223,000000,245245
IC-85-B8-42,163171,193197,129129,129133,171177,116122,118118,112122,152154,211231,246262,100104,281285,215219,086101,245245
IC-85-B8-43,159169,187199,125127,125127,161169,116122,114116,112112,154158,227227,246258,100112,269273,211219,000000,212245
IC-85-B8-44,171171,183193,123129,121133,171173,106120,114116,126126,154154,195227,262262,100108,277281,211219,086098,245245
IC-85-B8-45,157157,183193,119129,109129,173175,116116,108116,110112,152156,227239,246262,104108,225281,219223,098101,245245
IC-85-B8-46,157157,183193,125129,123133,161171,120122,118118,110112,154154,191219,246266,104108,277281,207219,101101,212245
IC-85-B8-47,157157,191193,123129,127129,161173,114118,116116,112124,152154,207231,246262,096104,217225,207211,086095,245245
IC-85-B8-48,159163,187197,119129,123133,173173,112114,108116,112120,154156,219219,246262,096112,225229,215215,086095,245245
IC-85-B8-49,155171,197199,127127,125129,000000,112120,108118,110126,152154,199227,270270,096096,269273,211219,086104,212245
IC-85-B8-50,171173,193197,123131,127133,161169,112124,114114,112126,152154,219231,000000,100104,233269,000000,095098,245245
IC-85-B9-01,157169,191197,123127,109131,173177,116118,114116,110112,152152,219231,246262,108108,269277,207207,086095,212245
IC-85-B9-02,169169,183197,123127,129133,161175,112120,116118,110112,154154,191227,266270,100104,217277,211223,095101,245245
IC-85-B9-03,145157,195197,117131,129135,161161,118120,116116,110126,150152,191231,246246,092104,269269,207219,104104,212245
IC-85-B9-04,169177,193193,125129,129129,161167,112114,116116,112112,152160,191231,250262,000000,217277,211215,092101,245245
IC-85-B9-05,163169,189197,127127,129129,163171,108114,118118,112114,152152,203207,262266,100104,277285,207223,101104,245245
IC-85-B9-06,157157,193197,127129,121127,173173,116118,114116,112112,154158,223231,266266,096100,265273,215219,086098,212245
IC-85-B9-07,175175,183187,129129,125133,169179,120122,116116,112112,152154,207207,246246,104108,265273,207215,086086,212245
IC-85-B9-08,157157,193197,119127,129129,161173,110116,116116,106112,154154,223231,246246,104108,273277,219219,086086,212245
IC-85-B9-09,157159,191201,119129,123133,173175,106118,116122,112112,154154,219227,262262,096104,217269,207211,086095,212245
IC-85-B9-10,161175,195197,123131,121129,165171,116116,108116,110124,152158,199223,246266,096100,213285,207207,086095,212245
IC-85-B9-11,163169,187197,117127,121127,169173,106120,116116,112112,154158,215227,246262,100104,221269,223231,095101,212245
IC-85-B9-12,157165,193197,125127,125135,171171,112120,116116,112124,154154,227231,262270,100104,221265,207227,086086,212245
IC-85-B9-13,155169,193197,117129,125129,171171,112120,114114,112114,154154,195223,270270,100104,269273,219223,095101,245245
IC-85-B9-14,159163,191197,117119,123133,171173,116120,116118,106110,154160,195227,246262,104116,261297,211211,086098,245245
IC-85-B9-15,157163,191199,125127,129133,161161,116124,116116,112112,154154,203211,262266,096100,217269,203235,086104,245245
IC-85-B9-16,157169,193197,127129,125143,171175,116120,116118,124126,154154,227227,262270,096096,229277,207207,095098,245245
IC-85-B9-17,161169,183193,117131,127129,161171,118120,116116,112114,154154,207231,246270,096104,269281,207215,086095,245245
IC-85-B9-18,145163,193195,127129,121125,161169,112118,116118,112126,152156,191231,270274,100100,213269,215215,086095,245245
IC-85-B9-19,157157,191199,117125,127133,173175,116118,108118,106112,152152,203219,266270,104112,229265,207207,086095,245245
IC-85-B9-20,157175,193193,123125,129143,161161,116120,116116,110112,154158,199223,246262,104104,269273,211215,086104,212245
IC-85-B9-21,163169,193195,125129,125129,173175,116120,114120,112126,152154,211227,000000,108112,261265,207223,086095,245245
IC-85-B9-22,157173,191193,123125,129129,175177,106116,114116,126126,152152,215227,246266,100104,213265,211219,086095,212245
IC-85-B9-23,157169,187197,129129,119133,167175,120120,108114,110112,152154,227231,246262,096112,265269,219223,086092,212245
IC-85-B9-24,143157,191193,125125,127133,161175,116120,114116,110114,152158,219223,262270,108112,273285,219223,086095,245245
IC-85-B9-25,157169,193193,123129,129143,173173,120120,110116,114124,146152,227235,246262,100116,225277,219223,086104,212245
IC-85-B9-26,157169,183183,125129,129133,173175,120120,116118,112122,152152,207207,246270,104108,269273,207219,086095,245245
IC-85-B9-27,165169,183187,119125,123127,161161,114122,116120,114126,146154,207211,246246,104112,225269,199211,086095,245245
IC-85-B9-28,157165,193193,117129,109129,161171,116120,114116,122126,152154,207215,246266,104108,269269,207219,086086,245245
IC-85-B9-29,157163,185195,125129,129133,171173,120122,116118,112126,154154,203235,246246,100104,261273,207223,086101,245245
IC-85-B9-30,163165,183197,125127,125127,161173,120120,118118,112126,152154,191203,246270,096116,265265,203219,086101,245245
IC-85-B9-31,159163,181197,125127,123133,167173,112112,108114,112126,152154,199235,246262,100108,273285,211215,092101,212245
IC-85-B9-32,157169,191199,127127,129133,161171,118120,114116,112126,154156,227231,262262,104108,217225,199211,098101,212245
IC-85-B9-33,165171,193193,117117,133133,161175,116120,116120,112112,154154,191227,246266,100104,217261,219223,092095,245245
IC-85-B9-34,163163,183193,129129,125127,161173,112118,116116,112112,152160,191223,246262,096108,225269,215223,095104,245245
IC-85-B9-35,169175,183199,123131,129133,171173,106120,116118,110112,154156,219227,258262,104104,269273,207219,095095,212245
IC-85-B9-36,157171,181187,123129,129129,169175,116120,114116,124126,154156,207219,246262,096108,221269,207207,095095,245245
IC-85-B9-37,157165,193197,125127,125129,161171,120122,114114,110110,154154,223235,246246,100116,225277,207211,086095,245245
IC-85-B9-38,157157,191193,123127,129133,169171,120120,114116,110120,152154,191207,246246,096104,217273,207231,095104,212245
IC-85-B9-39,163163,191197,127129,129133,000000,114120,116116,112126,154154,191211,266270,100104,269285,211223,098101,212245
IC-85-B9-40,159169,193201,131131,129129,161161,114120,114118,110112,152154,223235,262266,104108,269269,207227,086095,245245
IC-85-B9-41,157169,193215,117119,125127,161177,114116,116128,110126,152154,227227,246266,104112,213281,207223,095101,245245
IC-85-B9-42,169173,193193,125131,129129,161175,116120,114116,112112,152154,207227,262270,096100,265265,207223,095095,212245
IC-85-B9-43,157175,191197,127127,127129,161175,116116,116120,112112,152154,227231,246262,100104,221269,219223,095101,245245
IC-85-B9-44,169169,191199,119127,125129,169171,108116,108118,114124,154156,207227,246266,100108,225229,203211,095095,245245
IC-85-B9-45,173173,183211,127129,127129,161171,114120,114116,112120,156156,227227,246262,096096,269273,207215,098101,245245
IC-85-B9-46,157175,199201,117119,111135,167173,116122,116116,106112,156158,215227,262270,096112,237269,203211,095095,212245
IC-85-B9-47,155171,197199,117127,127129,161171,112120,114116,112124,146154,191211,246246,108108,265277,207219,092098,212245
IC-85-B9-48,169175,187193,119127,123133,161175,112120,114116,110124,152154,215215,246246,100104,229269,207219,086092,245245
IC-85-B9-49,163171,183191,119129,109123,161171,106112,104118,114122,154154,207227,250266,100100,217225,211223,095101,212245
IC-85-B9-50,157163,187187,117131,123133,161173,106120,116116,110112,154154,191207,246246,096100,261281,207211,086086,212245
IC-85-B9-51,157175,183187,117117,123129,161171,120120,116116,110112,154154,207219,246246,104116,261269,215223,086101,212245
IC-85-B9-52,157175,183187,127129,121121,171177,120122,116118,106122,152154,219223,246246,100104,265269,211211,098101,245245
IC-85-B9-53,157157,197215,119125,127131,161171,116116,116116,110124,154160,207227,246258,096100,225273,207215,086086,212245
IC-85-B9-54,157157,183195,123123,129131,175175,112116,116120,112112,154154,223223,246262,096096,209269,215215,095101,212245
IC-85-B9-55,157173,183197,119129,121127,173173,120120,114114,110112,146152,191207,246270,092096,237289,207219,092098,245245
IC-85-B9-56,157163,193197,119125,123125,161161,114120,108114,112126,152154,207207,246246,104104,225269,199215,095101,212245
IC-85-B9-57,163169,187195,127131,129131,161173,114116,120128,110126,146152,227231,262266,096104,221273,227227,095101,212245
IC-85-B9-58,157157,197199,127127,143143,161173,112118,114116,112126,152154,207231,250258,096096,209269,219223,086095,212245
IC-87-B8-36,163173,193193,119129,123127,173177,112120,116118,110112,152154,207231,246250,104104,225269,203215,086095,212245
IC-87-B8-37,159171,191193,127129,121127,161173,116116,116118,112112,154158,191211,246246,096100,285293,211211,095095,212245
IC-87-B8-38,169169,191195,125127,129129,169173,116118,108114,112124,154156,227227,246246,100108,217229,203207,095095,212245
IC-87-B8-41,169175,183197,129131,129133,163173,112120,116116,110112,152154,199203,262262,104108,269289,207223,086095,212245
IC-87-B9-31,157171,191197,117119,111129,171171,120120,114114,124126,146152,207227,246262,100112,265269,203207,092095,245245
IC-87-B9-32,159165,195197,125127,125133,169169,106116,116116,110120,146152,223223,246262,100104,265285,207219,086086,245245
IC-87-B9-34,157157,183199,119127,129129,169177,112120,108116,112126,154154,231231,246246,092096,213269,223223,086095,245245
IC-87-B9-35,159163,183197,127131,127131,173173,106106,116120,110112,154160,215227,266270,104112,265269,207227,086086,212245
IC-87-B9-38,163169,193193,129129,123129,177177,112122,116116,112112,152152,227231,246266,096104,269273,207211,086086,245245
IC-89-B0-01,169171,193197,117127,125127,173175,112120,116118,112112,158160,207211,266266,100100,221233,211219,095101,245245
IC-89-B0-02,159169,183193,127127,135135,173173,112118,118118,110112,154154,203207,246250,100108,269273,203211,095101,245245
IC-89-B0-03,157163,193197,119129,125129,165173,106120,114114,110126,152154,227227,250266,104104,221269,203215,095101,245245
IC-89-B0-04,157173,183183,119123,123123,161175,120120,114120,112114,152156,211211,262262,104116,269285,211215,092101,245245
IC-89-B0-05,157169,193197,125129,125129,169177,120120,118118,112122,146154,211227,246262,104108,225269,207227,101101,245245
IC-89-B0-06,157163,193199,123131,143143,169173,112118,116116,112126,146152,207211,246270,096104,217269,211223,095095,245245
IC-89-B0-07,161163,193197,125125,125129,175177,106118,114114,112120,154156,191227,262266,104108,261269,211223,095101,245245
IC-89-B0-08,157165,193197,125127,127135,161173,106120,116116,112112,158160,223227,246262,096096,261265,219231,092095,245245
IC-89-B0-09,169173,183187,129131,125133,161175,108122,118120,112112,152158,207223,262262,100104,217221,199219,086086,245245
IC-89-B0-10,163173,191197,129129,127133,161173,112116,116116,110122,154154,219231,262262,096112,269269,207219,086104,245245
IC-89-B0-11,169175,181193,123123,121127,161175,116120,114114,124126,154158,223223,246258,096108,213261,207207,095095,245245
IC-89-B0-12,169169,195199,123127,129129,161171,120120,116118,112112,152152,211211,246246,100108,221285,207211,095101,245245
IC-89-B0-13,169173,183193,117129,127133,167171,106122,114114,110124,148156,223227,262270,108108,277285,211211,086095,212245
IC-89-B0-14,163169,193211,125127,125125,161173,110118,114116,112114,154154,223223,262262,104104,241265,207219,095095,245245
IC-89-B0-15,157157,193199,129131,125131,161173,116120,114120,110120,152154,207223,246262,104104,229269,207211,086095,212245
IC-89-B0-16,159159,193199,123127,133133,161173,116120,114116,110112,150154,211219,246262,096096,269273,215223,092104,212245
IC-89-B0-17,157169,193195,129129,129129,161173,116118,116118,112126,154154,207227,246262,096104,265269,211223,086104,245245
IC-89-B0-18,157163,195197,129131,127133,171177,116116,116116,106126,152152,191231,258262,104108,261273,207207,086098,245245
IC-89-B0-19,157163,183197,119127,127127,169173,110116,116116,112122,154156,191199,242270,096108,273285,207211,086086,245245
IC-89-B0-20,145157,197199,117129,127129,173173,106116,114116,112126,154158,219227,246262,096112,225269,207211,101101,245245
IC-89-B0-21,159171,183195,119127,131141,169181,112120,116116,112126,154154,219227,246262,104112,269269,215215,095098,212245
IC-89-B0-22,163173,197197,119127,121133,173175,116122,114114,110112,154154,207227,246246,096108,269277,207207,086101,245245
IC-89-B0-23,169169,193197,117117,129129,173173,112112,108116,110112,152152,211219,246262,096104,265285,211215,095098,212245
IC-89-B0-24,143169,187197,119131,125129,173173,116120,114116,110112,152158,199223,246262,096104,261281,207223,086086,212245
IC-89-B0-25,157157,183197,119127,123131,173173,116120,114122,114126,152154,227235,246262,096100,265273,219227,086095,245245
IC-89-B0-27,169173,193197,127129,127129,173179,106120,116118,112112,152158,227231,246246,104104,225277,211215,095101,245245
IC-89-B0-28,157159,191193,123127,127129,161161,112120,114116,110110,154156,199231,246270,104116,261265,223227,086095,245245
IC-89-B0-29,163169,183191,119127,127133,171173,112122,116118,112126,152154,219227,246270,096108,269285,199207,086104,245245
IC-89-B0-30,159171,193211,117125,129129,161161,116124,116116,112112,152154,223227,262262,104108,229269,207215,086095,212245
IC-89-B0-31,157159,193199,125127,127129,173175,120120,114116,110126,154156,207219,246262,096096,225289,203203,095101,212245
IC-89-B0-32,157159,191193,127129,129131,161177,114126,114114,114126,152154,227231,246262,096104,237265,223223,086095,212245
IC-89-B0-33,171171,187197,129131,127129,161173,120122,114118,112122,148154,207223,262270,108108,273293,207215,095095,245245
IC-89-B0-34,157163,193197,125131,129133,161175,112120,114116,110112,154156,227231,262262,096104,269285,199219,098101,245245
IC-89-B0-35,157157,197213,125127,133143,173175,120120,108116,110110,154154,231231,246262,100100,229285,207215,095095,245245
IC-89-B0-36,157169,193193,127131,109129,161171,114116,114116,110112,152154,203219,258266,096100,221225,207207,086095,212245
IC-89-B0-37,169169,183185,127129,129133,171175,116120,116116,112126,152152,191231,246246,100100,225229,207219,095095,245245
IC-89-B0-38,169169,181183,127131,123125,173173,118120,116118,126126,152154,211235,246266,096100,261265,207211,098101,212245
IC-89-B0-39,169173,195197,123129,109131,163175,116118,116116,112112,152158,191203,246246,096096,209261,207211,086095,212245
IC-89-B0-40,157169,181191,119125,127129,171175,114116,116116,112112,152154,199219,246246,104108,225281,207219,095095,245245
IC-89-B0-41,157159,187191,129131,121125,161173,112118,116118,110114,154158,203227,262266,104104,261261,215227,095095,245245
IC-89-B0-42,169169,191201,117117,129129,161173,116120,116116,110124,154158,191191,246262,100104,217273,223231,095101,212245
IC-89-B0-43,157163,191191,119129,129133,173177,106118,108114,110110,152154,191235,246262,096104,261281,219223,086101,245245
IC-89-B0-44,157163,191193,117125,125133,169173,106112,116116,110126,152152,191227,262270,100104,265285,207227,086098,212245
IC-89-B0-45,159175,187191,127129,129131,171171,112112,116122,110124,152152,223235,262270,096108,225273,219223,095095,245245
IC-89-B0-46,155175,187199,119127,133133,175179,112118,116120,112122,146152,207207,246266,096108,269269,207219,086098,245245
IC-89-B0-47,157157,187187,123127,129129,173175,106120,114120,110110,152154,203207,262270,100108,233269,203203,104104,245245
IC-89-B0-48,157159,183197,117123,127129,161169,106120,114120,112112,146154,207207,266270,096108,269269,199207,095095,245245
IC-89-B0-49,157163,183193,125125,109129,000000,112116,112116,114122,146154,227227,246262,100108,213269,207211,086095,245245
IC-89-B0-50,157169,183197,119123,127133,161175,120122,108116,112114,148160,207223,246262,100104,265269,207219,086086,245245
IC-89-B0-51,157175,193197,129131,129141,173175,106112,116118,112122,146154,191227,246270,100108,265269,215215,095098,245245
IC-89-B0-52,155157,201213,129131,129129,161175,106112,116118,110112,154154,223227,246262,096108,217265,207207,086095,212245
IC-89-B0-53,157157,187195,119127,125127,173173,120122,116116,110112,152156,207231,246246,104108,225265,215219,086095,245245
IC-89-B0-54,157169,193197,125129,127133,171173,112120,118120,112126,154158,191227,246246,100104,269277,215215,086101,245245
IC-89-B0-55,155171,191197,127129,125133,161177,110124,114116,110112,152154,207223,246266,096096,261277,203211,086086,245245
IC-89-B0-56,163169,187201,119125,127135,161169,112124,116120,112126,146160,203219,246266,100112,269269,211219,086095,245245
IC-89-B0-57,163169,191211,125129,125129,161173,118120,116120,110114,152154,215223,262266,104104,213241,211219,095095,245245
IC-89-B0-58,157169,191195,117117,127133,169173,116124,118120,112124,152152,211215,246262,104112,269285,211219,086095,212245
IC-89-B0-59,157165,197197,119129,123129,161169,116120,114114,122126,152156,223227,246262,100108,277285,215231,086095,212245
IC-89-B0-60,157163,183193,119125,129129,161173,114116,114116,106112,152158,191227,266270,096096,225269,207211,095095,245245
IC-89-B0-61,157163,193195,125125,129133,161169,106118,114116,112112,152160,227231,262266,104108,265265,215219,095098,212245
IC-89-B0-62,157159,197201,119123,129133,161169,106112,108116,110112,154158,191215,250266,104116,269285,207207,095095,245245
IC-89-B0-63,157165,197197,125131,127129,171175,112120,116116,110114,152152,219227,246262,100104,269277,211219,095098,245245
IC-89-B0-64,157157,197211,127129,123129,171173,112114,114116,124126,152156,191207,246266,096108,213273,207219,086095,245245
IC-89-B0-65,159171,187197,119119,109127,161173,116120,114118,110112,152152,191207,262262,104104,229229,223227,095095,245245
IC-89-B0-66,157171,183189,127127,127129,173173,116120,116116,112112,154154,211227,246270,104108,217221,211215,095101,212245
IC-89-B0-67,157171,187197,117129,125129,171175,112116,116116,110126,152152,223239,246246,104104,265277,207211,095095,245245
IC-89-B0-68,157175,183199,117125,129133,161173,106122,116116,110126,152154,191223,262266,104104,225265,211223,086095,245245
NOR-00-07-23-06-32,157157,193213,127129,129133,161175,112116,116120,106126,152154,191223,246262,100100,265269,215219,095098,245245
NOR-00-07-23-07-32,157169,197201,123129,125143,173175,114120,118120,112126,152154,199227,262266,096104,265281,207223,086095,212245
NOR-00-07-23-08-32,157169,191195,119123,127129,161175,116116,114120,112112,146158,203219,270270,100116,269281,211215,095104,212245
NOR-00-07-23-09-32,163169,187193,117119,129129,167171,106120,116116,126126,152154,227227,246246,096108,273289,207211,086095,212245
NOR-00-07-23-10-32,143145,187197,117129,127133,173173,108120,114116,112126,152154,219223,246262,096108,225273,207215,101101,245245
NOR-02-07-03-01-32,157165,191199,117127,133143,169177,112122,116116,110126,154160,215227,266270,104112,221285,215227,095098,245245
NOR-02-07-03-02-32,157163,191199,127127,127133,173177,112112,116116,108126,154160,191227,246270,112116,000000,215231,098101,212245
NOR-02-07-06-07-32,157157,183195,125127,127129,171177,112120,114114,112112,152152,207231,246262,100104,221277,211215,086104,245245
NOR-02-07-19-14-32,175175,195197,117125,127133,161161,116120,112014,110126,146154,207227,262262,104104,229273,211215,095101,245245
NOR-02-07-19-15-32,157175,193195,125131,123127,161161,116116,112016,110130,152154,227227,262262,100104,229265,211223,086095,245245
NOR-02-07-19-16-32,159171,181193,117127,123125,161175,112122,116120,106122,152160,223239,246262,104104,221225,211227,095095,245245
NOR-02-07-19-17-32,169175,195197,117131,129129,161161,106120,114120,110112,152154,215223,250262,100104,269269,207215,098101,212245
NOR-03-07-08-02-32,161175,191193,117127,121133,161175,116116,108114,112112,146158,000000,000000,092100,000000,211215,000000,212245
NOR-03-07-10-04-32,159169,193199,117129,129141,161161,118120,108116,110112,154154,227231,266270,096100,213285,215219,086095,212245
NOR-03-07-23-07-32,163175,191193,123131,133135,167173,106120,116118,112112,152156,223227,242258,100100,225269,203219,095104,212245
NOR-03-07-27-08-32,157157,191193,125125,127133,171175,112122,114116,112112,156156,231239,246262,092100,217277,211219,092095,245245
NOR-03-08-03-11-32,157159,183197,119129,109129,169173,120120,114116,112112,152158,203227,262266,096108,229265,203207,086101,245245
NOR-03-08-03-12-32,163175,191207,127129,127127,173177,116118,114116,112112,152154,207227,246266,104108,213217,203219,095095,245245
NOR-03-08-05-13-32,163175,191207,127129,127127,173177,116118,114116,112112,152154,207227,246266,104108,213217,203219,095095,245245
NOR-03-08-05-14-32,143171,181187,117127,127129,173177,120120,116116,112112,152152,223223,246270,108108,225265,207207,095101,212245
NOR-03-08-05-15-32,157163,193199,127129,129129,173173,112120,116116,110126,152152,191231,262262,104108,217217,219223,086095,212245
NOR-03-08-05-16-32,143171,181187,117127,127129,173177,120120,116120,108108,152152,223223,246270,104104,000000,203207,095101,212245
NOR-03-08-05-17-32,163171,197197,127129,123133,000000,000000,114116,106124,152154,211223,000000,092100,000000,203215,095101,212245
NOR-03-08-06-18-32,163169,197197,117127,125125,167171,118120,114116,110110,152154,223223,242262,096116,221269,227227,095095,212245
NOR-03-08-06-19-32,155157,183193,117127,121129,171171,116120,116116,112112,152154,203231,246262,100108,225273,199211,095098,212245
NOR-03-08-06-20-32,157167,183193,129129,127129,161171,112112,120128,112126,152158,191227,246246,096108,261269,203207,095104,245245
NOR-03-08-06-21-32,157165,189193,123131,133133,161169,120120,114116,114124,152160,207235,266266,104108,273277,207219,098101,245245
NOR-03-08-06-22-32,157165,187197,129129,127129,175177,112122,116122,110112,154156,203207,246266,100116,269269,215215,086095,212245
NOR-03-08-08-25-32,169169,183195,119127,129133,173173,112116,116118,110112,154154,191211,246262,104108,269273,219223,086095,245245
